"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"[extrap]";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 V";"N0 être Vpp W";"N1 =: Qu Pind";"N1 =: Qu Psubj";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: si P ou si P";"N1 =: V0-inf W";"Tc =: passé";"Tc =: futur";"Vc =: devoir";"Vc =: pouvoir";"Vc =: savoir";"N1 =: ce(ci+la)";"Prép N1 =: Prép Qu P = Ppv";"à N1 =: à ce Qu P = là";"à N1 = Ppv =: le";"N1 =: Nhum";"Prép N1hum = Ppv";"N1 =: N-hum";"N1 =: le fait Qu P";"Prép N1-hum = Ppv";"il être Vpp Prép N1 (E+par N0)";"N0 V contre Nhum";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"28";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"chercher";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"Max cherche à ce que tout soit en ordre"
"29";"+";"-";"-";"-";"-";"se";"+";"-";"-";"claquer";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"Max se claque à faire ce travail"
"30";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"compatir";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"Max compatit à ce que Luc a de tels malheurs"
"31";"+";"-";"-";"-";"-";"se";"+";"-";"-";"complaire";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"Max se complait à ce que tout soit en désordre"
"32";"+";"+";"+";"-";"-";"<E>";"-";"-";"-";"conclure";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"Max conclut à ce que rien ne fonctionne"
"33";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"condescendre";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"Max condescend à ce que Léa vienne"
"34";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"consentir";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"Max consent à ce qu'Ida parte"
"35";"-";"+";"+";"-";"-";"<E>";"-";"-";"-";"conspirer";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"Tout conspire à ce que Luc ne soit pas élu"
"36";"+";"+";"+";"-";"+";"<E>";"-";"-";"-";"contribuer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"Max contribue à ce que tout soit en ordre"
"37";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"couper";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"Max coupera à ce qu'on le punisse"
"38";"-";"+";"+";"+";"+";"se";"+";"-";"-";"crever";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"Max se crève à ce que tout soit en ordre"
"39";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"croire";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"Max croit à ce qu'Ida viendra"
"40";"+";"-";"-";"-";"-";"se";"+";"-";"-";"débrouiller";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Max se débrouille à ce que tout soit en ordre"
"41";"+";"-";"-";"-";"-";"se";"+";"-";"-";"décarcasser";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"Max se décarcasse à ce que tout soit en ordre"
"42";"+";"-";"-";"-";"-";"se";"+";"-";"-";"délecter";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max se délecte à ce que tout soit en ordre"
"43";"+";"+";"+";"-";"-";"<E>";"-";"-";"-";"demander";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max demande à ce qu'Ida parte"
"44";"+";"-";"-";"-";"-";"se";"+";"-";"-";"démener";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"Max s'est démené à ce qu'il soit nommé"
"45";"+";"-";"-";"-";"-";"se";"+";"-";"-";"démerder";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max s'est démerdé à ce que Luc soit nommé"
"46";"+";"-";"-";"-";"-";"en";"-";"+";"-";"demeurer";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"Max en est demeuré à ce que Luc venait"
"47";"~";"~";"~";"~";"~";"se";"+";"-";"-";"dérober";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max se dérobe à faire ce genre de corvée"
"48";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"désapprendre";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"Max a désappris à travailler"
"49";"+";"-";"-";"-";"-";"se";"+";"-";"-";"dévouer";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"Max se dévoue à ce que tout soit en ordre"
"50";"+";"-";"-";"-";"-";"se";"+";"-";"-";"donner";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max se donne à ce que tout fonctionne"
"51";"-";"+";"+";"-";"+";"<E>";"-";"-";"-";"échapper";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"Max a échappé à ce qu'on le recrute"
"52";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"échiner";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"Max s'échine à ce que tout soit en ordre"
"53";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"échouer";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"Max a échoué à sauver le malade"
"54";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"efforcer";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"Max s'efforce à(plaire+ce que tout soit en ordre)"
"55";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"égosiller";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"Max s'égosille à ce que ses enfants obéissent"
"56";"~";"~";"~";"~";"~";"s'";"+";"-";"-";"embêter";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max s'embête à tout finir à l'heure"
"57";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"emmerder";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Luc s'emmerde à classer les verbes"
"58";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"emmieller";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Luc s'emmielle à classer les verbes"
"59";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"emmouscailler";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Luc s'emmouscaille à classer les verbes"
"60";"~";"~";"~";"~";"~";"s'";"+";"-";"-";"empresser";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Le vendeur s'empresse à satisfaire le client"
"61";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"enquiquiner";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Luc s'enquiquine à régler ce problème"
"62";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"entendre";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"Max s'entend à semer la zizanie"
"63";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"époumoner";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"Max s'époumone à ce que Ida vienne"
"64";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"escrimer";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"Max s'escrime à ce que tout soit en ordre"
"65";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"essayer";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"Max s'essaye à parler en public"
"66";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"essouffler";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"Max s'essouffle à ce que tout soit en ordre"
"67";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"éterniser";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"Max s'éternise à ce que tout soit en ordre"
"68";"+";"-";"-";"-";"-";"en";"-";"+";"-";"être";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"Max en est à ramasser les mégots"
"69";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"évertuer";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"Max s'évertue à ce que tout soit en ordre"
"70";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"exceller";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"Max excelle à fabriquer des gâteaux"
"71";"-";"-";"-";"-";"-";"se";"+";"-";"-";"faire";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"Max ne se fait pas à ce que Léa ne rentre pas"
"72";"+";"-";"-";"-";"-";"se";"+";"-";"-";"faire";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"Luc se fait à faire la vaisselle"
"73";"+";"-";"-";"-";"-";"se";"+";"-";"-";"fier";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"Max se fie à ce que la porte est fermée"
"74";"+";"-";"-";"-";"-";"se";"+";"-";"-";"frotter";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"+";"Max s'est frotté à travailler avec cette machine"
"75";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"gaffer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max gaffe à ne pas tomber";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"76";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"gagner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Paul gagnerait à être plus énergique";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"77";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"goûter";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"Max a goûté à ce que Léa s'absente"
"78";"+";"-";"-";"-";"-";"se";"+";"-";"-";"heurter";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"Max s'est heurté à ce que Luc ait dit non"
"79";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"ingénier";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"Max s'ingénie à(ce que tout soit en ordre+tout mettre en ordre)"
"80";"~";"~";"~";"~";"~";"s'";"+";"-";"-";"intéresser";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max s'intéresse à ce que tout fonctionne";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"81";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"lambiner";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"Max lambine à finir son travail"
"82";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"marner";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"Max marne (pour Luc+dans la pub)"
"83";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"mordre";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"Max mord à faire des maths"
"84";"+";"+";"+";"+";"+";"<E>";"-";"-";"-";"nuire";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"Qu'Ida soit partie nuit à ce que Max aille bien"
"85";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"obstiner";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"Max s'obstine à ce que Léa l'appelle 'papa'"
"86";"+";"+";"+";"-";"+";"<E>";"-";"-";"-";"obvier";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"Cette balustrade obvie à ce que l'on tombe"
