"<ID>";"N1 V Loc N2";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N1 =: Nhum";"N0 V N0pc W";"N0 V N0pc W";"N1 =: N-hum";"N1 être V-n";"Loc N2 =: de N2 source";"Loc N2 =: de N2 destination";"Loc N2 =: dans N2 destination";"Loc N2 =: sur N2 destination";"Loc N2 =: contre N2 destination";"Loc N2 =: à N2 destination";"N2 =: Nhum";"de combien ?";"N1 V N2";"il y avoir V-n entre N1 et N2";"V-n attache";"N0 V N1 de N3 attache";"N0 V N1";"N3 attache V N1";"V-n résultat";"N0 V N résultat";"N0 V N1 + 2";"N0 V N2 (E+de N1)";"Loc N2 =: à Nhum";"à Nhum =: Loc Npc";"N1 =: mot, N2 =: texte";"N1 =: idée, N2 =: esprit";"N0 V N1abs Loc N2abs";"N0 V N1hum Loc N2abs";"Prép2 =: avec";"Prép2 =: d'avec";"N1 être V-n (forme V-n)";"il y avoir V-n entre N1 et N2 (forme V-n)";"V-n résultat (forme V-n)";"V-n attache (forme V-n)";"<OPT>"
"15";"-";"-";"<E>";"articuler";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"<E>";"<E>";"articulation";"<E>";"Max a articulé cette tige sur cet arbre"
"16";"-";"-";"<E>";"assujettir";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a assujetti la tringle à la porte"
"17";"+";"-";"<E>";"attacher";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"<E>";"attache";"<E>";"attache";"Max attache Luc au poteau avec une corde"
"18";"-";"-";"<E>";"boulonner";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"boulon";"Max boulonne cette planche(avec+sur+et)celle-là"
"19";"-";"-";"<E>";"boutonner";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"bouton";"Max boutonne sa robe"
"20";"-";"-";"<E>";"brancher";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"branche";"branchement";"<E>";"Max branche le fil sur la prise"
"21";"-";"-";"<E>";"braser";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a brasé ce tuyau(avec+sur)celui-là"
"22";"-";"-";"<E>";"brider";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"bride";"Max bride le câble(et+avec)celui-là"
"23";"-";"-";"<E>";"cadenasser";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"cadenas";"Max a cadenassé sa porte d'un gros cadenas"
"24";"-";"-";"<E>";"cheviller";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"cheville";"Max cheville ce panneau sur le montant"
"25";"-";"-";"<E>";"choquer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"choc";"<E>";"<E>";"Max a choqué son verre(avec+et)celui de Luc"
"26";"-";"-";"<E>";"cimenter";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"ciment";"Max a cimenté cette pierre avec celle-là"
"27";"+";"-";"<E>";"claquer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max claque les mains"
"28";"-";"-";"<E>";"clouer";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"clou";"Max a cloué cette planche(avec+contre+sur)celle-là"
"29";"+";"-";"<E>";"cogner";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a cogné son verre(avec+contre+et)celui de Luc"
"30";"+";"-";"<E>";"coller";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"<E>";"<E>";"<E>";"colle";"Max colle cette feuille(à+avec+et)celle-là"
"31";"-";"-";"<E>";"confondre";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"confusion";"<E>";"<E>";"Le peintre a confondu sur sa toile le vert(avec+et+dans)le bleu"
"32";"-";"-";"<E>";"connecter";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"<E>";"connecteur";"connexion";"<E>";"Max a connecté ce fil à la prise"
"33";"-";"-";"<E>";"contrecoller";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"colle";"Max a contrecollé une planche(et+avec+sur)une autre planche"
"34";"-";"-";"<E>";"corder";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"cordage";"<E>";"Max a cordé les bûches"
"35";"-";"-";"<E>";"coudre";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"couture";"<E>";"Ida a cousu la manche sur la robe"
"36";"+";"+";"<E>";"croiser";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"croix";"<E>";"Max croise le fil rouge(avec+sur+et)le fil bleu"
"45";"-";"+";"<E>";"emberlificoter";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Luc a emberlificoté le fil avec l'antenne"
"46";"-";"+";"<E>";"emboîter";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"<E>";"<E>";"emboîtement";"<E>";"Max emboîte le tenon(dans+avec+et)la mortaise"
"47";"-";"-";"<E>";"emboucher";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max embouche le robinet(dans+avec+et)le tuyau"
"48";"+";"-";"<E>";"embrancher";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"branche";"<E>";"embranchement";"<E>";"Les ingénieurs ont embranché cette ligne(sur+avec+à)la voie principale"
"49";"-";"-";"<E>";"emmancher";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"manche";"<E>";"<E>";"<E>";"Max emmanche les tuyaux à force"
"50";"-";"-";"<E>";"emmêler";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a emmêlé le fil rouge(et+avec)le bleu"
"51";"-";"-";"<E>";"empêtrer";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a empêtré les fils"
"52";"-";"+";"<E>";"encastrer";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a encastré le tenon(dans+et+avec)la mortaise"
"53";"-";"-";"<E>";"enchaîner";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"chaîne";"Max a enchaîné le tender(à+sur+avec+et)la locomotive"
"54";"-";"-";"<E>";"enchevêtrer";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"<E>";"<E>";"enchevêtrement";"<E>";"Max a enchevêtré le fil vert(dans+avec+à+et)le fil rouge"
"55";"-";"-";"<E>";"encorder";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"corde";"On  encorde Léa(à+avec+et)le guide"
"56";"+";"-";"<E>";"engrener";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"Ce levier engrène le pigeon(sur+avec+et)moyeu"
"57";"-";"-";"<E>";"enlacer";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Le peintre a enlacé les initiales"
"58";"-";"-";"<E>";"entortiller";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"<E>";"<E>";"entortillement";"<E>";"Max entortille le fil bleu(avec+et+dans+autour de)le fil noir"
"59";"-";"-";"<E>";"épingler";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"<E>";"<E>";"<E>";"épingle";"Max a épinglé le tissu(à+avec+sur+et)la doublure"
"60";"-";"-";"<E>";"épisser";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"épissure";"<E>";"Paul a épissé le cordage rouge et le cordage bleu"
"62";"-";"-";"<E>";"ficeler";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"<E>";"<E>";"<E>";"ficelle";"Max a ficelé ce colis(avec+et)celui là"
"63";"+";"-";"<E>";"frapper";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max frappe son verre(avec+contre+et)celui de Luc"
"64";"+";"-";"<E>";"frotter";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max frotte les deux silex"
"66";"-";"-";"<E>";"goupiller";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"goupille";"Max goupille la roue sur l'axe"
"67";"+";"-";"<E>";"heurter";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"heurt";"<E>";"<E>";"Max heurte son verre(avec+contre+et)celui de Luc"
"68";"-";"+";"<E>";"imbriquer";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"<E>";"<E>";"imbrication";"<E>";"Max imbrique le tenon(avec+dans+et)la mortaise"
"69";"~";"~";"<E>";"interconnecter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"On a interconnecté cette machine avec celle là"
"71";"-";"-";"<E>";"juxtaposer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a juxtaposé la copie(à+et)l'original"
"72";"-";"-";"<E>";"lacer";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"lacet";"Ida a lacé la partie gauche(et+avec+à)la partie droite du gilet"
"73";"-";"-";"<E>";"lier";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"lien";"Max lie les branches avec une ficelle"
"74";"-";"-";"<E>";"ligaturer";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"<E>";"ligature";"ligature";"ligature";"Max a ligaturé le fer sur le manche"
"75";"-";"-";"<E>";"ligoter";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a ligoté Luc(et+avec+à)Bob d'une corde solide"
"76";"~";"~";"<E>";"maintenir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Les vis maintiennent (l'assemblage+les montants et les planches)"
"77";"-";"-";"<E>";"monter";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max monte le tesson(et+avec+sur)la mortaise"
"78";"-";"-";"<E>";"nouer";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"<E>";"noeud";"noeud";"<E>";"Max a noué (les lacets+la corde)"
"79";"-";"-";"<E>";"pincer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"pince";"Max pince les documents dans un trombone"
"80";"-";"-";"<E>";"piquer";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a piqué le tissu(et+avec+sur)la doublure"
"81";"-";"-";"<E>";"plier";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"pli";"<E>";"Max a plié le rabat sur l'enveloppe"
"82";"-";"-";"<E>";"rabouter";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"bout";"<E>";"<E>";"<E>";"Max a rabouté les deux fils"
"83";"-";"-";"<E>";"raccorder";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"<E>";"raccord";"<E>";"raccord";"Max a raccordé le fil bleu(et+avec)le rouge"
"84";"-";"-";"<E>";"rapprocher";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a rapproché la lampe(et+avec+du)cendrier"
"85";"-";"-";"<E>";"rattacher";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"<E>";"<E>";"<E>";"attache";"Max a rattaché les 2 lignes téléphoniques"
"86";"~";"~";"<E>";"replier";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max a replié (le canapé+la carte)"
"87";"-";"-";"<E>";"réunir";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"<E>";"<E>";"réunion";"<E>";"Max a réuni la corde(et+avec)le filin"
"88";"-";"-";"<E>";"river";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"rivet";"Max a rivé la plaque sur le longeron"
"89";"-";"-";"<E>";"riveter";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"rivet";"Max a riveté la plaque sur le longeron"
"90";"-";"-";"<E>";"sangler";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"sangle";"Max a sanglé les valises avec les sacs"
"91";"-";"-";"<E>";"saucissonner";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"On a saucissonné (les deux paquets+Luc à sa chaise)"
