"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"<ENT>Ppv";"Ppv =: se figé";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 être Vpp W";"N0 V";"N0 V Prép N1";"Prép1";"N1 =: Qu Pind";"N1 =: Qu Psubj";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: si P ou si P";"N1 =: V0-inf W";"N1 =: V2-inf W";"N1 =: de V0-inf W";"N1 =: ce(ci+la)";"Prép N1 =: Prép Qu P = Ppv";"N1 =: Nhum";"Prép N1hum = Ppv";"N1 =: N-hum";"N1 =: le fait Qu P";"Prép N1-hum = Ppv";"il être Vpp Prép N1 (E+par N0)";"N0 V Prép N2";"Prép2";"N2 =: Qu Pind";"N2 =: Qu Psubj";"Prép N2 =: Prép ce Qu P = Qu P";"N2 =: si P ou si P";"N2 =: V0-inf W";"N2 =: V1-inf W";"N2 =: ce(ci+la)";"Prép N2 =: Prép Qu P = Ppv";"Prép N2 = Prép là";"N2 =: Nhum";"Prép N2hum = Ppv";"N2 =: N-hum";"N2 =: le fait Qu P";"Prép N2-hum = Ppv";"il être Vpp Prép N2 (E+par N0)";"Prép N2 N0 V N1";"<OPT>"
"11";"+";"-";"-";"-";"-";"<E>";"-";"attribuer";"+";"-";"-";"-";"-";"<E>";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"-";"à";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"Max attribue que Luc soit parti à ce qu'il est fou"
"12";"+";"+";"-";"-";"-";"<E>";"-";"augurer";"+";"-";"-";"-";"+";"<E>";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"de";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"Luc augure que Léa viendra de ce qu'il fait beau"
"13";"+";"-";"-";"-";"-";"s'";"+";"autoriser";"-";"+";"-";"-";"-";"de";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"pour";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Max s'autorise de ce que Luc est parti pour se montrer"
"14";"+";"+";"+";"+";"-";"<E>";"-";"axer";"+";"-";"-";"-";"-";"<E>";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"sur";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"Max a axé son raisonnement sur ce que Luc partait"
"15";"+";"-";"-";"-";"-";"<E>";"-";"compter";"+";"-";"-";"-";"+";"sur";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"pour";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Max compte sur Luc pour que tout soit en ordre"
"16";"+";"-";"-";"-";"-";"<E>";"-";"conclure";"+";"-";"-";"+";"+";"<E>";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"de";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"Max conclut que le total est correct de ce que les 2 calculs concordent"
"17";"+";"+";"-";"-";"-";"<E>";"-";"conjecturer";"+";"-";"-";"-";"-";"<E>";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"de";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"Max a conjecturé de ces observations qu'Ida viendrait"
"18";"+";"-";"-";"-";"-";"<E>";"-";"convoquer";"+";"-";"-";"-";"+";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"pour";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Max convoque Luc pour faire ce travail"
"19";"+";"-";"-";"-";"-";"se";"+";"cotiser";"-";"+";"-";"-";"+";"avec";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"pour";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Max se cotise avec Luc pour acheter du vin"
"20";"+";"+";"+";"+";"+";"<E>";"-";"coupler";"+";"-";"-";"-";"-";"<E>";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"et";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"Max a couplé de se rendre à Gap et de prendre des vacances"
"21";"+";"-";"-";"-";"-";"<E>";"-";"déduire";"+";"-";"-";"-";"+";"<E>";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"de";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"Max déduit que Luc était en faute de ce que le rapport était là"
"22";"+";"-";"-";"-";"-";"<E>";"-";"dégager";"+";"-";"-";"-";"+";"<E>";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"de";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"Max a dégagé qu'il fallait partir de ce que l'ennemi s'était renforcé"
"23";"+";"-";"-";"-";"-";"<E>";"-";"dériver";"+";"-";"-";"-";"+";"<E>";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"de";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"Max dérive que cette loi est fausse de ce que ce principe a été mis en défaut"
"24";"+";"+";"+";"+";"+";"<E>";"-";"désapprendre";"+";"-";"-";"+";"+";"à";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"à";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Luc a désappris à Max à travailler"
"25";"+";"+";"+";"-";"-";"<E>";"-";"devoir";"+";"-";"-";"-";"-";"<E>";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"à";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"Max doit d'être encore vivant à ce que Luc est intervenu"
"26";"-";"+";"+";"-";"-";"<E>";"-";"différer";"+";"-";"-";"+";"+";"de";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"en";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Ce texte diffère de celui-là en ce qu'il est long"
"27";"+";"-";"-";"-";"-";"<E>";"-";"embaucher";"+";"-";"-";"+";"+";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"pour";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"Max embauche Luc pour faire un poker"
"28";"+";"-";"-";"-";"-";"<E>";"-";"engager";"+";"-";"-";"+";"+";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"pour";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"Max engage Luc(pour+à)laver les plats"
"29";"+";"+";"+";"+";"-";"<E>";"-";"enseigner";"+";"-";"-";"+";"+";"à";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"à";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"Max enseigne à Ida à faire le clown"
"30";"+";"-";"-";"-";"-";"s'";"+";"entendre";"-";"+";"-";"-";"+";"avec";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"pour";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"Max s'entend avec Léa pour provoquer le drame"
"31";"+";"+";"+";"+";"+";"<E>";"-";"extraire";"+";"-";"-";"-";"+";"<E>";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"de";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"Max extrait de ce que Léa est absente que Luc est revenu"
"32";"+";"-";"-";"-";"-";"<E>";"-";"extrapoler";"+";"-";"-";"-";"+";"<E>";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"de";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"Max a extrapolé de ce que Léa était absente que Luc était revenu"
"33";"+";"+";"+";"-";"-";"<E>";"-";"fonder";"+";"-";"-";"-";"-";"<E>";"+";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"sur";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"Max a fondé cette conclusion sur le fait que la terre tourne"
"34";"+";"+";"+";"+";"-";"<E>";"-";"gagner";"+";"-";"-";"-";"+";"<E>";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"à";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"Max a gagné à ce que Léa était partie qu'il a pu travailler"
"35";"+";"+";"+";"+";"+";"<E>";"-";"harmoniser";"+";"-";"-";"+";"-";"<E>";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"et";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"Max a harmonisé que Paul parte et que Léa vienne"
"36";"+";"+";"+";"+";"+";"<E>";"-";"identifier";"+";"-";"+";"+";"-";"<E>";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"à";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"Max a identifié l'assassin à ce qu'il portait un bas sur la tête"
"37";"+";"-";"-";"-";"-";"<E>";"-";"imputer";"+";"-";"-";"-";"-";"<E>";"+";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"à";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"Max impute le fait que la cuve soit pleine à ce qu'il a plu"
"38";"+";"-";"-";"-";"-";"<E>";"-";"induire";"+";"-";"-";"-";"+";"<E>";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"de";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"Max a induit de ce que Luc est pâle qu'il a trop bu la veille"
"39";"+";"-";"-";"-";"-";"<E>";"-";"inférer";"+";"-";"-";"-";"+";"<E>";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"de";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"Max a inféré de ce que Luc était pâle qu'il avait trop bu"
"40";"+";"-";"-";"-";"-";"<E>";"-";"joindre";"+";"-";"-";"-";"-";"<E>";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"à";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"Max joint le fait qu'il est bête au fait qu'il est méchant"
"41";"+";"+";"+";"+";"+";"<E>";"-";"lier";"+";"-";"-";"+";"-";"<E>";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"à";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"Max a lié dans son explication le fait que la porte était fermée(E+au fait que Luc était revenu)"
"42";"~";"~";"~";"~";"~";"<E>";"-";"mesurer";"+";"-";"~";"~";"~";"<E>";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"à";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"On mesure si Paul est efficace à ce qu'il a eu des résultats"
"43";"+";"-";"-";"-";"-";"<E>";"-";"missionner";"+";"-";"+";"-";"-";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"pour";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Luc a missionné Paul pour discuter avec le ministre"
"44";"+";"+";"+";"+";"+";"<E>";"-";"montrer";"+";"-";"-";"-";"-";"à";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"à";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Guy montre à Zoé(à+comment)coudre un bouton"
"45";"+";"-";"-";"-";"-";"<E>";"-";"objecter";"+";"-";"-";"-";"+";"<E>";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"+";"à";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"Max a objecté à ce que Luc n'était pas venu qu'il était malade"
"46";"+";"+";"+";"+";"+";"<E>";"-";"opposer";"+";"-";"-";"+";"-";"<E>";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"à";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"Max oppose au fait que Max ait demandé de partir qu'il reste encore du travail"
"47";"~";"~";"~";"~";"~";"s'";"+";"organiser";"-";"+";"~";"~";"~";"avec";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"pour";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Paul s' organise avec Luc pour que tout fonctionne"
"48";"~";"~";"~";"~";"~";"<E>";"-";"parier";"+";"-";"~";"~";"~";"avec";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"sur";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max parie sur la chute des actions"
"49";"+";"-";"-";"-";"-";"<E>";"-";"passer";"+";"-";"-";"-";"-";"par";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"pour";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Max est passé par Luc pour obtenir ce poste"
"50";"+";"+";"+";"+";"-";"<E>";"-";"perdre";"+";"-";"-";"-";"+";"<E>";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"à";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"Max a perdu à ce que Léa parte qu'il ne peut plus manger"
"51";"+";"-";"-";"-";"-";"<E>";"-";"préférer";"+";"-";"-";"-";"+";"<E>";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"à";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"Max préfère que Léa soit de bonne humeur"
"52";"+";"-";"-";"-";"-";"<E>";"-";"pressentir";"+";"-";"-";"-";"+";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"pour";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"Luc a pressenti Max pour qu'il fasse ce travail"
"53";"~";"~";"~";"~";"~";"<E>";"-";"prévoir";"+";"-";"~";"~";"~";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"pour";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"On a prévu cette salle pour contenir 500 personnes"
"54";"-";"+";"+";"-";"-";"<E>";"-";"qualifier";"+";"-";"-";"-";"+";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"pour";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Ce succès qualifie cette équipe pour disputer la finale"
"55";"+";"+";"+";"+";"+";"<E>";"-";"questionner";"+";"-";"+";"-";"+";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"sur";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"Max questionne Luc s'il peut venir"
"56";"+";"+";"+";"+";"-";"<E>";"-";"raccrocher";"+";"-";"-";"-";"-";"<E>";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"à";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"Max a raccroché le fait que Léa était partie au fait qu'elle en avait assez"
"57";"+";"+";"+";"+";"+";"<E>";"-";"ramener";"+";"-";"-";"-";"-";"<E>";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"à";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"Max ramène le fait que les prix montent à ce que la production a diminué"
"58";"+";"+";"+";"-";"-";"<E>";"-";"rapporter";"+";"-";"-";"-";"-";"<E>";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"à";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"Max a rapporté le fait que Léa parte au fait qu'elle n'était pas en forme"
"59";"+";"+";"+";"+";"+";"<E>";"-";"rapprocher";"+";"-";"-";"+";"-";"<E>";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"de";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"Max rapproche le fait que Luc vienne du fait que Léa soit absente"
"60";"+";"+";"+";"+";"+";"<E>";"-";"rattacher";"+";"-";"-";"-";"-";"<E>";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"à";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"Max rattache le fait que Léa est partie à ce que Luc est arrivé"
"61";"+";"+";"+";"+";"-";"<E>";"-";"recommander";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"pour";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"Qu'il ait cette expérience recommande Max pour occuper ce poste"
"62";"~";"~";"~";"~";"~";"<E>";"-";"réduire";"+";"-";"~";"~";"~";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"à";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max réduit le fait que Ida est malheureuse à ce qu'elle a perdu son chapeau"
"63";"+";"+";"+";"+";"+";"<E>";"-";"relier";"+";"-";"-";"-";"-";"<E>";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"à";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"Max a relié le fait que Luc était parti au fait que ses cravates avaient disparu"
"64";"+";"-";"-";"-";"-";"se";"+";"renseigner";"-";"+";"-";"+";"+";"auprès";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"de";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"Max se renseigne auprès de Luc s'il peut venir"
"65";"~";"~";"~";"~";"~";"<E>";"-";"réquisitionner";"+";"-";"~";"~";"~";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"pour";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"On a réquisitionné la troupe pour évacuer les blessés"
"66";"+";"-";"-";"-";"-";"<E>";"-";"retenir";"+";"-";"-";"-";"+";"<E>";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"de";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"Max a retenu de ce que Léa avait réussi qu'elle était douée"
"67";"~";"~";"~";"~";"~";"<E>";"-";"sacrifier";"+";"-";"~";"~";"~";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"à";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a sacrifié qu'il se repose à ce qu'il travaille"
"68";"-";"+";"+";"+";"-";"<E>";"-";"servir";"+";"-";"-";"+";"+";"à";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"à";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Ce torchon sert à Max à nettoyer les vitres"
"69";"+";"+";"+";"+";"+";"<E>";"-";"sortir";"+";"-";"-";"-";"-";"<E>";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"de";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"Max a sorti qu'il ferait beau de ce que les nuages s'en allaient"
"70";"+";"-";"-";"-";"-";"se";"+";"souvenir";"-";"+";"-";"-";"+";"de";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"à";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Max se souvient (E+de ce)que Léa est partie à ce que la porte est fermée"
"71";"+";"+";"+";"+";"+";"<E>";"-";"subordonner";"+";"-";"-";"-";"-";"<E>";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"à";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"Max a subordonné qu'il sorte à ce qu'il fasse beau"
