"<ID>";"N0 lieu de destination de N1";"N2 V N1";"N2 destination V N1";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"dé-V";"N1 =: Nhum";"N0 lui V N1pc W";"N0 V N1 sur N1pc";"N1 =: N-hum";"N1 être V-n";"N0 V N2";"N0 V N1 Loc N2 source Loc N3 destination";"N0 V N1 en N2";"N0 V N1 de N2 source";"N0 V N1 Loc N2 source, Loc # de";"Loc N3 =: dans N3 destination";"Loc N3 =: sur N3 destination";"Loc N3 =: contre N3 destination";"Loc N3 =: à N3 destination";"N3 être V-n";"N3 =: Npl obl";"Ppv =: y";"Ppv =: en";"N0 lui V N1 Loc N3pc";"N1 être Vpp W";"N1 =: mot, (N2+N3) =: texte";"N1 =: idée, (N2+N3) =: esprit";"N0 V N1hum Loc (N2abs+N3abs)";"N0 V N1abs Loc (N2abs+N3abs)";"N1 être V-n (forme V-n)";"N3 être V-n (forme V-n)";"<OPT>"
"11";"-";"-";"-";"<E>";"-";"botteler";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"botte";"Max a bottelé le blé en bottes de 7kg"
"12";"~";"~";"~";"<E>";"-";"bouleverser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ceci a bouleversé mes(habitudes+plans)"
"13";"-";"-";"-";"<E>";"-";"bouleverser";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"Max a bouleversé l'ordre des dossiers"
"14";"~";"~";"~";"<E>";"-";"bousculer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette innovation bouscule les (traditions+horaires)"
"15";"-";"-";"-";"<E>";"-";"brasser";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max brasse les cartes"
"16";"-";"-";"-";"<E>";"-";"brocher";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"Max a broché ces feuilles en son cahier"
"17";"-";"-";"-";"<E>";"-";"brouiller";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"<E>";"<E>";"Max a brouillé la combinaison du coffre"
"18";"~";"~";"~";"<E>";"-";"canaliser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max canalise les plaintes sur Luc"
"19";"+";"-";"-";"<E>";"-";"capitaliser";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Max capitalise les contredanses"
"20";"-";"-";"-";"<E>";"-";"caramboler";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"La boule a carambolé les quilles"
"21";"-";"+";"+";"<E>";"-";"cataloguer";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"<E>";"catalogue";"Max a catalogué les livres"
"22";"+";"-";"-";"<E>";"-";"catalyser";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Max catalyse les oppositions(sur sa personne+sur Léa)"
"23";"+";"+";"+";"<E>";"-";"centraliser";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"<E>";"<E>";"Max centralise les données dans un fichier"
"24";"-";"-";"-";"<E>";"-";"chambarder";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max a chambardé les livres"
"25";"-";"-";"-";"<E>";"-";"chambouler";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max a chamboulé les livres"
"26";"~";"~";"~";"<E>";"-";"clairsemer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La maladie a clairsemé ses cheveux"
"27";"-";"+";"-";"<E>";"-";"classer";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"classe";"Max a classé les verbes en dix classes"
"28";"-";"+";"-";"<E>";"-";"classifier";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"<E>";"classe";"Max a classifié les données en dix catégories"
"29";"+";"-";"+";"<E>";"-";"collecter";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"<E>";"<E>";"Max a collecté des dons"
"30";"+";"-";"-";"<E>";"-";"collectionner";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Max collectionne les timbres"
"31";"~";"~";"~";"<E>";"-";"combiner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max combine ses horaires"
"32";"-";"+";"-";"<E>";"-";"compiler";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"<E>";"<E>";"Max compile des données|en tables|"
"33";"-";"-";"-";"<E>";"-";"composer";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"Max a composé ces éléments en un gros meuble"
"34";"~";"~";"~";"<E>";"-";"comptabiliser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max comptabilise les erreurs de Paul"
"35";"-";"-";"-";"<E>";"-";"compter";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"Max compte les absents"
"36";"-";"-";"-";"<E>";"-";"compter";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"Max compte les occasions de rire"
"37";"-";"-";"-";"ne";"+";"compter";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"<E>";"<E>";"Max ne compte plus les erreurs de Flo"
"38";"-";"-";"-";"<E>";"-";"compulser";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max compulse ses notes"
"39";"+";"-";"-";"<E>";"-";"concentrer";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"<E>";"<E>";"Max concentre des rayons sur la cible"
"40";"~";"~";"~";"<E>";"-";"confisquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max confisque tous les diplômes"
"41";"~";"~";"~";"<E>";"-";"constituer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max constitue ses ouvriers(E+en troupe de choc)"
"42";"~";"~";"~";"<E>";"-";"cumuler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max cumule les erreurs"
"43";"~";"~";"~";"<E>";"-";"débiter Advt";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le tuyau débite cent litres à l'heure"
"44";"-";"-";"-";"<E>";"-";"décimer";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"La rafale avait décimé les soldats"
"45";"-";"+";"+";"<E>";"-";"décompter";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"<E>";"décompte";"Max a décompté les bulletins de vote"
"46";"~";"~";"~";"<E>";"-";"dégrader";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a dégradé les couleurs"
"47";"~";"~";"~";"<E>";"-";"démanteler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a démantelé ce (réseau+organisation) d'espions"
"48";"-";"-";"-";"<E>";"-";"dénombrer";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Max a dénombré ses amis"
"49";"-";"-";"-";"<E>";"-";"dépareiller";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"Cette vente a dépareillé l'ensemble"
"50";"-";"-";"-";"<E>";"-";"déparier";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"paire";"<E>";"Max a déparié ses(gants+tourterelles)"
"51";"-";"-";"-";"<E>";"-";"dépouiller";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Max dépouille les votes"
"52";"-";"-";"-";"<E>";"-";"déranger";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"<E>";"rangement";"Max dérange l'ordre des fiches dans son tiroir"
"53";"-";"-";"-";"<E>";"-";"désunir";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"union";"<E>";"Cette affaire d'héritage a désuni la famille"
"54";"-";"-";"-";"<E>";"-";"disposer";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"<E>";"<E>";"Max dispose les couteaux sur la table"
"55";"~";"~";"~";"<E>";"-";"diviser";"-";"+";"-";"~";"+";"~";"~";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette affaire divise le public en deux camps"
"56";"-";"-";"-";"<E>";"-";"ébouler";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"éboulis";"Le choc a éboulé les rochers du haut de la montagne"
"57";"-";"-";"-";"<E>";"-";"échafauder";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"<E>";"échafaudage";"Max a échafaudé des caisses devant sa porte"
"58";"-";"-";"-";"<E>";"-";"échantillonner";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Jo a échantillonné la production"
"59";"-";"-";"-";"s'";"-";"échelonner";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"<E>";"échelon";"Les événements s' échelonnent sur dix ans"
"60";"~";"~";"~";"<E>";"-";"égrener";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ida égrène (E+les grains de)son chapelet"
"61";"~";"~";"~";"<E>";"-";"éloigner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max éloigne ses visites"
"62";"~";"~";"~";"<E>";"-";"embrasser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La pensée embrasse tous les aspects du problème"
"63";"-";"-";"-";"<E>";"-";"empiler";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"<E>";"pile";"Max empile des connaissances"
"64";"~";"~";"~";"<E>";"-";"enchaîner Advm";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max enchaîne bien ses arguments"
"65";"-";"-";"-";"<E>";"-";"enfiler";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"<E>";"Max enfile des platitudes"
"66";"~";"~";"~";"<E>";"-";"engerber";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul engerbe les épis de blé"
"67";"~";"~";"~";"<E>";"-";"englober";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max englobe tous les assistants dans son invitation"
"68";"-";"-";"-";"<E>";"-";"enliasser";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"liasse";"Max enliasse les billets(E+enliasses de 100 f.)"
"69";"~";"~";"~";"<E>";"-";"enstérer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a enstéré les bûches(E+en stères)"
"70";"-";"-";"-";"<E>";"-";"entasser";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"<E>";"tas";"Max a entassé les dossiers sur son bureau"
"71";"-";"-";"-";"<E>";"-";"entrechoquer";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"<E>";"<E>";"Max et Luc entrechoquent leurs verres"
"72";"-";"+";"-";"<E>";"-";"énumérer";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"énumération";"Max a énuméré les qualités de Luc"
"73";"~";"~";"~";"<E>";"-";"éparpiller";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a éparpillé des cartes dans le salon"
"74";"~";"~";"~";"<E>";"-";"épuiser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a épuisé (ses munitions+les possibilités)"
"75";"-";"-";"-";"<E>";"-";"espacer";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"<E>";"espace";"Max espace ses(visites+interventions)"
"76";"-";"-";"-";"<E>";"-";"étager";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"<E>";"étage";"On a étagé les spectateurs sur les gradins"
"77";"~";"~";"~";"<E>";"-";"être";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Mes amis étaient dix"
"78";"~";"~";"~";"<E>";"-";"fagoter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a fagoté des branches en fagot"
"79";"~";"~";"~";"<E>";"-";"fédérer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ce traité a fédéré ces pays en une fédération"
"80";"-";"-";"-";"<E>";"-";"feuilleter";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"feuille";"<E>";"Max a feuilleté (E+les pages d')un livre"
"81";"-";"-";"-";"<E>";"-";"fondre";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"<E>";"<E>";"Max a fondu ses notes en un cours obscur"
"82";"-";"-";"-";"<E>";"-";"gerber";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"gerbe";"Cette machine gerbe les épis"
"83";"~";"~";"~";"<E>";"-";"gerber";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a gerbé les caisses dans le noir"
"84";"-";"-";"-";"<E>";"-";"graduer";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"On a gradué les difficultés dans le test"
"85";"-";"-";"-";"<E>";"-";"grappiller";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"?";"<E>";"Max grappille des matériaux sur les chantiers"
"86";"-";"-";"-";"<E>";"-";"grouper";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"<E>";"groupe";"Max a groupé les dossiers par ordre d'urgence"
"87";"-";"-";"-";"<E>";"-";"inventorier";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"inventaire";"Max a inventorié (les fiches+le fichier)"
"88";"-";"-";"-";"<E>";"-";"jouer";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Max joue les grands patrons"
"89";"~";"~";"~";"<E>";"-";"juger";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a jugé les(films+candidats)"
"90";"~";"~";"~";"<E>";"-";"justifier";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a justifié (E+les lignes de)le texte"
"91";"~";"~";"~";"<E>";"-";"lister";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a listé les emplois du verbe 'lister'"
"92";"~";"~";"~";"<E>";"-";"manipuler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le pharmacien manipule les produits toxiques"
"93";"+";"-";"-";"<E>";"-";"massacrer";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"L'ennemi a massacré les civils"
"94";"+";"+";"+";"<E>";"-";"masser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"<E>";"masse";"Les soldes massent les gens devant les boutiques"
