"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V N1";"N1 =: Nhum";"N1 =: N-hum";"N0 être V-ant pour N1";"N1 se V de ce Qu P";"N1 être Vpp de ce Qu P";"N1 être Vpp par N0";"N1 être Vpp de N0";"N0 V à N2";"N2 =: Qu Pind";"N2 =: Qu Psubj";"Prép N2 =: Prép ce Qu P = Qu P";"N2 =: V0-inf W";"N2 =: V1-inf W";"N2 =: V1c-inf W";"Tc =: passé";"Tc =: futur";"N2 =: ce(ci+la)";"Prép N2 =: Prép Qu P = Ppv";"à N2 = là";"N2 =: Nhum";"Prép N2hum = Ppv";"N2 =: N-hum";"N2 =: le fait Qu P";"Prép N2-hum = Ppv";"il être Vpp Prép N2 (E+par N0)";"N1 être Vpp par N0 à ce Qu P";"N1 être Vpp de N0 à ce Qu P";"<OPT>";"<ENGLISH>"
"13";"~";"~";"~";"~";"~";"<E>";"-";"acculturer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Ses voyages ont acculturé John à manger des escargots";"?"
"14";"+";"+";"+";"+";"-";"<E>";"-";"activer";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"L'urgence a activé Max à se rendre à son travail";"to speed up"
"15";"+";"+";"+";"+";"+";"<E>";"-";"adapter";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"Son enfance avait adapté Max à ce qu'on lui donne les travaux les plus durs";"to adapt"
"16";"+";"-";"-";"-";"-";"<E>";"-";"admettre";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Le comité a admis Paul à occuper cette situation";"to admit"
"17";"+";"+";"+";"+";"+";"<E>";"-";"affecter";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"Max a affecté Marie à s'occuper du secrétariat";"to appoint"
"18";"~";"~";"~";"~";"~";"<E>";"-";"affronter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"La crise a affronté le gouvernement à des difficultés";"?"
"19";"+";"-";"-";"-";"-";"<E>";"-";"agrafer";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Les flics ont agrafé Max à voler une auto";"to nab"
"20";"+";"-";"+";"-";"-";"<E>";"-";"agréer";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Le directeur a agréé Max à remplir ces fonctions";"to authorize"
"21";"+";"+";"+";"-";"+";"<E>";"-";"agripper";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"Max agrippe toutes ses forces à sortir du trou";"to cling on"
"22";"+";"+";"+";"+";"-";"<E>";"-";"aguerrir";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Ce traitement a aguerri Max à supporter le froid";"to harden"
"23";"+";"+";"+";"+";"-";"<E>";"-";"aider";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max aide Luc à faire son travail";"to help"
"24";"+";"+";"+";"+";"-";"<E>";"-";"aiguiller";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Le Prof a aiguillé Max à faire du grec";"to orientate"
"25";"+";"+";"+";"+";"-";"<E>";"-";"aiguillonner";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Ceci(E+le manque d'argent) aiguillonne Paul à travailler";"to spur"
"26";"+";"+";"+";"+";"+";"<E>";"-";"ajuster";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"Max a ajusté la pièce à entrer dans l'encoche";"to adjust"
"27";"+";"+";"+";"+";"-";"<E>";"-";"amener";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"Max a amené Luc à ce qu'il avoue tout";"to induce"
"28";"+";"-";"-";"-";"-";"<E>";"-";"ameuter";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Le prophète a ameuté les fidèles à ce qu'ils manifestent";"to stir up"
"29";"+";"+";"+";"+";"-";"<E>";"-";"appeler";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max a appelé ses amis à se rendre à sa manif";"to summon"
"30";"~";"~";"~";"~";"~";"<E>";"-";"appeler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"On a appelé Max à présider le conseil";"?"
"31";"~";"~";"~";"~";"~";"<E>";"-";"appeler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Son métier l' appelle à voyager";"?"
"32";"+";"-";"-";"-";"-";"<E>";"-";"appliquer";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"Max applique tous ses efforts à ce que le conflit soit vite réglé";"to apply"
"33";"~";"~";"~";"~";"~";"<E>";"-";"appointer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"On appointe Luc à surveiller l'usine";"?"
"34";"+";"-";"-";"-";"-";"<E>";"-";"apporter";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"Max apporte tous ses soins à ce que l'affaire réussisse";"to bring"
"35";"+";"+";"+";"+";"-";"<E>";"-";"apprêter";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Ceci apprête Max à résister";"to get ready"
"36";"+";"-";"-";"-";"-";"<E>";"-";"apprivoiser";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a apprivoisé Marie à sourire";"to tame"
"37";"+";"+";"+";"+";"+";"<E>";"-";"approprier";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"Max a approprié ses efforts à ce que l'ordre soit vite rétabli";"to suit"
"38";"+";"-";"-";"-";"-";"<E>";"-";"assermenter";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max a assermenté Luc à dresser des PV";"to authorize"
"39";"+";"+";"+";"+";"+";"<E>";"-";"asservir";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"Le roi a asservi la presse à vanter ses succès";"to overcome"
"40";"+";"-";"-";"-";"-";"<E>";"-";"assigner";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"Max assigne Luc à faire ce travail";"to assign"
"41";"+";"+";"+";"+";"+";"<E>";"-";"assujettir";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"Cette loi assujettit Max à ce qu'il déclare ses profits";"to subjugate"
"42";"+";"+";"+";"+";"-";"<E>";"-";"astreindre";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max astreint Luc à ce qu'il aille voir Ida";"to force"
"43";"+";"+";"+";"+";"-";"<E>";"-";"attacher";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"Max attache de l'importance à ce que Luc parte";"to attach"
"44";"~";"~";"~";"~";"~";"<E>";"-";"attacher";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max attache son (énergie + énergie) à ce que tout soit en ordre";"?"
"45";"+";"+";"+";"+";"-";"<E>";"-";"attarder";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max attarde son esprit à étudier ce problème";"to linger"
"46";"+";"+";"+";"+";"-";"<E>";"-";"atteler";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max attelle son énergie à ce que tout revienne à l'ordre";"to put on"
"47";"~";"~";"~";"~";"~";"<E>";"-";"attitrer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"L'état a attitré Max à ce qu'il remplisse cette fonction";"?"
"48";"+";"-";"-";"-";"-";"<E>";"-";"attraper";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max a attrapé Luc à voler des os";"to catch"
"49";"+";"+";"+";"+";"-";"<E>";"-";"autoriser";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max autorise Luc à ce qu'il prenne des mesures";"to authorize"
"50";"+";"+";"+";"+";"-";"<E>";"-";"avancer";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Ceci avance Luc à ce qu'il ne fasse plus rien";"to make progress"
"51";"+";"+";"+";"+";"-";"<E>";"-";"avantager";"-";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"La situation avantage Luc à recevoir une prime";"to give an advantage to"
"52";"+";"-";"-";"-";"-";"<E>";"-";"aventurer";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"Max aventure son argent à acheter ces actions";"to risk"
"53";"+";"-";"-";"-";"-";"<E>";"-";"baiser";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max a baisé Luc à voler un oeuf";"to catch"
"54";"+";"+";"+";"+";"-";"<E>";"-";"borner";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"Max borne son intervention à ce que tout soit calme";"to limit"
"55";"+";"+";"+";"+";"+";"<E>";"-";"cantonner";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max cantonne Luc à ce que le minimum soit fait";"to confine"
"56";"~";"~";"~";"~";"~";"<E>";"-";"chiper";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"On a chipé Paul à piquer dans la caisse";"?"
"57";"+";"-";"-";"-";"-";"<E>";"-";"choper";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max a chopé Luc à manger du sucre";"to catch"
"58";"+";"+";"+";"-";"+";"<E>";"-";"circonscrire";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max circonscrit ses efforts à ce que tout soit en ordre";"to limit"
"59";"+";"-";"-";"-";"-";"<E>";"-";"citer";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Le juge cite Luc à comparaître";"to summon"
"60";"~";"~";"~";"~";"~";"<E>";"-";"claquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a claqué son argent à boire";"?"
"61";"+";"+";"+";"+";"-";"<E>";"-";"coincer";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max a coincé Luc à voler un pain";"to catch"
"62";"+";"+";"+";"+";"-";"<E>";"-";"coller";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max a collé Luc à ce qu'il nettoie les vitres";"to stick"
"63";"+";"+";"+";"+";"-";"<E>";"-";"commettre";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max a commis Luc à ce que tout soit en ordre";"to appoint"
"64";"+";"+";"+";"+";"-";"<E>";"-";"commissionner";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max a commissionné Luc à ça qu'il organise le service";"to commission"
"65";"+";"+";"+";"-";"-";"<E>";"-";"concentrer";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"Max concentre ses efforts à ce que tout soit en ordre";"to concentrate"
"66";"+";"+";"+";"+";"-";"<E>";"-";"condamner";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Cette situation condamne Luc à rester ici";"?"
"67";"+";"-";"-";"-";"~";"<E>";"-";"condamner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Le tribunal condamne Luc à ce qu'il soit enfermé";"to sentence"
"68";"+";"+";"+";"+";"-";"<E>";"-";"conditionner";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max conditionne Luc à vider les poubelles";"to condition"
"69";"-";"+";"+";"+";"-";"<E>";"-";"conduire";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max conduit Luc à ce qu'il mette tout en ordre";"to lead"
"70";"~";"~";"~";"~";"~";"<E>";"-";"conférer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Cette loi confère de (l'intérêt + la valeur + l'importance) à ce que l'on se réunisse";"?"
"71";"+";"+";"+";"+";"-";"<E>";"-";"confiner";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Cette loi confine Max à ce qu'il ne vende plus de vin";"to confine"
"72";"+";"-";"-";"-";"-";"<E>";"-";"conformer";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"Max conforme ses habitudes à ce que tout soit en ordre";"to match"
"73";"~";"~";"~";"~";"~";"<E>";"-";"confronter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Cette affaire confronte Luc (à + avec) une situation neuve";"?"
"74";"+";"-";"-";"-";"-";"<E>";"-";"consacrer";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"Max consacre ses forces à ce que tout soit en ordre";"to devote"
"75";"+";"-";"-";"-";"-";"<E>";"-";"consentir";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"Max consent des efforts à ce que tout soit mis en ordre";"to grant"
"76";"+";"+";"+";"-";"-";"<E>";"-";"consommer";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"+";"Max consomme son énergie à ce que tout soit en ordre";"to consume"
"77";"+";"+";"+";"-";"-";"<E>";"-";"consumer";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"Max consume ses forces à ce que tout soit en ordre";"to consume"
"78";"+";"+";"+";"+";"-";"<E>";"-";"contraindre";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max contraint Luc à ce qu'il mette de l'ordre";"to force"
"79";"+";"+";"+";"+";"-";"<E>";"-";"convertir";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max a converti Luc à ce qu'il accepte cet ordre";"to convert"
"80";"+";"+";"+";"+";"-";"<E>";"-";"convier";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max convie Luc à ça qu'il remette tout en ordre";"to invite"
"81";"+";"+";"+";"+";"-";"<E>";"-";"courber";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Le besoin a courbé Max à ce qu'il travaille";"to bow down"
"82";"+";"-";"-";"-";"-";"<E>";"-";"cramponner";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"Max cramponne ses forces à ce que tout soit en ordre";"to cling to"
"83";"~";"~";"~";"~";"~";"<E>";"-";"craquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max craque son argent à boire";"?"
