"<ID>";"N0 lieu source de N1";"N0 lieu de destination de N1";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N0 dé-V N1 Loc N3 nv-dest";"N1 être V-n";"N0 V N2 (E+de N1)";"Loc N2 =: dans N2";"Loc N2 =: sur N2";"Loc N2 =: contre N2";"Loc N2 =: à N2";"Loc N2 =: vers N2";"Loc N2 = Ppv =: y";"N2 être V-n";"N1 être Vpp (statique)";"N1 =: Nconc métaphore";"N1 =: mot, N2 =: texte";"N1 =: idée, N2 =: esprit";"N0 V N1abs Loc N2abs";"N0 V N1hum Loc N2abs";"N1 =: Qu P métaphore";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>"
"11";"-";"-";"-";"+";"<E>";"calfeutrer";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"<E>";"<E>";"Le froid a calfeutré Max dans sa chambre"
"12";"-";"-";"+";"-";"<E>";"camper";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"<E>";"camp";"Le roi campe ses troupes dans la plaine"
"13";"~";"~";"~";"~";"<E>";"camper";"+";"-";"~";"~";"~";"-";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul m'a campé (là+au coin de la rue)"
"14";"-";"-";"+";"+";"<E>";"cantonner";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"<E>";"canton";"Le roi a cantonné ses troupes dans la ville"
"15";"-";"-";"-";"-";"<E>";"caserner";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"<E>";"caserne";"Le chef a caserné ses troupes dans la ville"
"16";"~";"~";"~";"~";"<E>";"chambrer";"+";"-";"~";"~";"~";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le médecin a chambré le malade"
"17";"-";"-";"-";"-";"<E>";"citer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"<E>";"<E>";"Max a cité Luc au palmarès"
"18";"-";"-";"-";"+";"<E>";"claquemurer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"<E>";"mur";"Max a claquemuré Luc dans sa chambre"
"19";"-";"-";"-";"+";"<E>";"claustrer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"<E>";"<E>";"Max a claustré Luc dans sa chambre"
"20";"-";"-";"-";"+";"<E>";"cloîtrer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"<E>";"cloître";"Max a cloîtré Ida dans sa chambre"
"21";"-";"-";"-";"-";"<E>";"clouer";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La maladie a cloué Max dans son lit"
"22";"-";"-";"-";"-";"<E>";"coiffer";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Paul a coiffé Luc(à l'arrivée+sur la ligne)"
"23";"-";"-";"-";"-";"<E>";"coincer";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"<E>";"coin";"La panne a coincé les gens dans l'ascenseur"
"24";"-";"-";"-";"-";"<E>";"confiner";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"<E>";"confinement";"Max a confiné Léa dans sa chambre"
"25";"-";"-";"-";"-";"<E>";"confirmer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"On a confirmé Luc dans ses fonctions"
"26";"-";"-";"-";"-";"<E>";"consigner";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a consigné les troupes à la caserne"
"27";"-";"-";"+";"-";"<E>";"coucher";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Max couche dix personnes chez lui"
"28";"~";"-";"~";"~";"<E>";"déclarer";"+";"-";"~";"~";"~";"-";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a déclaré son fils à la Mairie"
"29";"~";"-";"~";"~";"<E>";"demander";"+";"-";"~";"~";"~";"-";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On demande Paul au guichet"
"30";"-";"-";"-";"-";"<E>";"détenir";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La police a détenu Luc en prison"
"31";"-";"-";"-";"-";"<E>";"domicilier";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"domicile";"Max a domicilié son fils dans le Lot"
"32";"-";"-";"-";"-";"<E>";"égarer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Ses parents ont égaré le petit Poucet(E+dans le bois)"
"33";"~";"~";"~";"~";"<E>";"embarbouiller";"+";"-";"-";"~";"~";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Sa réplique a embarbouillé Max dans ses explications"
"34";"~";"~";"~";"~";"<E>";"emboucher";"+";"-";"-";"~";"~";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max embouche les boeufs dans le pré"
"35";"-";"-";"-";"+";"<E>";"emmurer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"<E>";"mur";"On a emmuré Luc dans la cave"
"36";"-";"-";"-";"+";"<E>";"empêtrer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"<E>";"<E>";"La discussion a empêtré Max dans ses contradictions"
"37";"-";"-";"-";"+";"<E>";"employer";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"employé";"<E>";"Max emploie Luc dans son entreprise"
"38";"-";"-";"-";"-";"<E>";"ficher";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"fichier";"On a fiché Max aux RG"
"39";"~";"~";"~";"~";"<E>";"garder";"+";"-";"-";"~";"~";"-";"+";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les flics ont gardé le suspect en prison"
"40";"~";"~";"~";"~";"<E>";"ghettoïser";"+";"-";"+";"~";"~";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a ghettoïsé les nouveaux arrivants"
"41";"-";"-";"-";"+";"<E>";"habiller";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max habille ses enfants chez Dior"
"42";"~";"~";"~";"~";"<E>";"halter";"+";"-";"-";"~";"~";"-";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a halté les troupes à Dax"
"43";"-";"+";"-";"-";"<E>";"héberger";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"<E>";"hébergement";"Max a hébergé Luc dans son studio"
"44";"~";"~";"~";"~";"<E>";"herbager";"+";"-";"-";"~";"~";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a herbagé les boeufs dans les(prés+herbages)"
"45";"-";"-";"+";"-";"<E>";"hiverner";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"On hiverne les vaches à l'étable"
"46";"-";"-";"-";"-";"<E>";"joindre";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"Max a réussi à joindre Luc(E+par téléphone)chez lui"
"47";"-";"+";"+";"+";"<E>";"loger";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"<E>";"logis";"Max loge chez lui des amis"
"48";"~";"~";"~";"~";"<E>";"mouiller";"+";"-";"-";"~";"~";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul a mouillé Max dans cette affaire"
"49";"-";"-";"-";"+";"<E>";"murer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"<E>";"mur";"L'éboulement avait muré Max dans la grotte"
"50";"-";"-";"-";"-";"<E>";"noyer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"<E>";"<E>";"Max a noyé les chatons dans la rivière"
"51";"-";"-";"-";"-";"<E>";"pendre";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"On a pendu Max au gibet"
"52";"-";"-";"-";"-";"<E>";"perdre";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a perdu Ida dans ses explications"
"53";"-";"-";"-";"-";"<E>";"piéger";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"<E>";"piège";"On a piégé l'ours dans une fosse"
"54";"-";"-";"-";"-";"<E>";"planter";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a planté Luc au coin de la rue"
"55";"~";"~";"~";"~";"<E>";"rechercher";"+";"-";"-";"~";"~";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max recherche le meurtrier dans tous le pays"
"56";"-";"-";"-";"-";"<E>";"reclure";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Sa longue maladie l' a reclus dans sa chambre"
"57";"-";"+";"-";"-";"<E>";"refuser";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"<E>";"<E>";"On a refusé Max dans cette école"
"58";"-";"-";"-";"-";"<E>";"rencontrer";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a rencontré Luc au coin de la rue"
"59";"~";"~";"~";"~";"<E>";"rencontrer";"+";"-";"-";"~";"~";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a rencontré sa femme dans un bal"
"60";"~";"~";"~";"~";"<E>";"retenir";"+";"-";"-";"~";"~";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max retint Ida dans le couloir"
"61";"-";"-";"-";"+";"<E>";"retrancher";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"<E>";"tranchée";"Le général a retranché ses troupes derrière des murailles"
"62";"-";"-";"-";"-";"<E>";"retrouver";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max retrouve Luc dans un café"
"63";"-";"-";"-";"-";"<E>";"river";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le travail rive Max à son bureau"
"64";"~";"~";"~";"~";"<E>";"ruraliser";"+";"-";"-";"~";"~";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a ruralisé les vieux dans des maisons de retraites lointaines"
"65";"~";"~";"~";"~";"<E>";"sangler";"+";"-";"+";"~";"~";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a sanglé Ida dans une gaine"
"66";"~";"~";"~";"~";"<E>";"saucissonner";"+";"-";"+";"~";"~";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ida saucissonne ses filles dans des robes trop étroites"
"67";"-";"-";"-";"-";"<E>";"semer";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max sème Ida dans le métro"
"68";"-";"-";"-";"-";"<E>";"séquestrer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Max séquestre Ida dans la cave"
"69";"-";"-";"-";"-";"<E>";"serrer";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le car serre le cycliste contre le trottoir"
"70";"~";"~";"~";"~";"<E>";"stabuler";"+";"-";"-";"~";"~";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Jules a stabulé ses boeufs dans l'étable"
"71";"-";"-";"-";"-";"<E>";"toucher";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a réussi à toucher Luc(E+par téléphone)chez lui"
"72";"-";"-";"-";"-";"<E>";"traquer";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"<E>";"traque";"Ted traque le cerf à la lisière du bois"

