"<ID>";"N0 =: Nhum";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V1c-inf W";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"Prép1";"N1 =: Nhum";"Prép N1hum = Ppv";"N1 =: N-hum";"N1 =: le fait Qu P";"Prép N1 =: à Nq";"Prép N1 =: dans Nq";"Prép N1 =: de Nq";"Prép N1 = Ppv";"il V Prép N1 N0 =: il V Prép N1 Qu Pind";"il V Prép N1 N0 =: il V Prép N1 Qu Psubj";"il V Prép N1 N0 =: il V Prép N1 de V1-inf W";"il V Prép N1 N0 =: il V Prép N1 de V1c-inf W";"Tc =: passé";"Tc =: futur";"Vc =: devoir";"Vc =: pouvoir";"Vc =: savoir";"N1 V de ce Qu Pind";"<OPT>"
"32";"-";"+";"-";"-";"<E>";"-";"-";"-";"déboucher";"-";"+";"-";"+";"sur";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Qu'Ida parte débouche sur une solution"
"33";"-";"+";"-";"-";"<E>";"-";"-";"-";"dégénérer";"-";"+";"-";"+";"en";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Que Max soit venu a dégénéré en pugilat"
"34";"-";"-";"+";"-";"<E>";"-";"-";"-";"dégringoler";"-";"+";"+";"-";"sur";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"Qu'il fasse cette corvée dégringole sur le dos de Max"
"35";"~";"~";"~";"~";"<E>";"-";"-";"-";"démanger";"-";"+";"-";"+";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Faire ça démange Paul"
"36";"-";"-";"+";"-";"<E>";"-";"-";"-";"démanger";"-";"+";"-";"+";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"Il démange à Paul de faire ça"
"37";"+";"-";"-";"+";"<E>";"-";"-";"-";"demeurer";"-";"-";"+";"-";"Loc";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"Que Max soit en faute demeure "
"38";"-";"-";"+";"+";"<E>";"-";"-";"-";"dépasser";"-";"+";"-";"-";"<E>";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"Que Max soit parti dépasse Luc"
"39";"-";"+";"+";"-";"<E>";"-";"-";"-";"déplaire";"-";"+";"-";"+";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Qu'Eva parte déplait à Luc"
"40";"~";"~";"~";"~";"<E>";"-";"-";"-";"désagréer";"-";"+";"-";"~";"à";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Que Marie parte désagrée à Paul"
"41";"~";"~";"~";"~";"se";"+";"-";"-";"dessiner";"-";"-";"+";"~";"à";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Que les choses s'organisent se dessine à l'horizon"
"42";"-";"+";"-";"-";"<E>";"-";"-";"-";"déteindre";"-";"+";"-";"-";"sur";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Que Max se déguise a déteint sur Luc"
"43";"-";"+";"-";"-";"<E>";"-";"-";"-";"détonner";"-";"+";"-";"-";"sur";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"Qu'Ida parte détonne sur son attitude     "
"44";"~";"~";"~";"~";"<E>";"-";"-";"-";"dire Adv";"-";"+";"-";"~";"à";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Faire ceci ne me dit rien "
"45";"-";"+";"-";"-";"<E>";"-";"-";"-";"disparaître";"-";"+";"+";"-";"Loc";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"Qu'Ida soit venu a disparu de la mémoire de Luc"
"46";"+";"+";"+";"+";"<E>";"-";"-";"-";"dominer";"-";"+";"-";"+";"<E>";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"Que Max ait pu être en faute domine son esprit "
"47";"-";"+";"-";"-";"<E>";"-";"-";"-";"dominer";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Que Max ait fait cette faute domine dans l'esprit de Luc"
"48";"-";"+";"-";"+";"<E>";"-";"-";"-";"dormir";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Qu'Ida a été en faute dort dans les dossiers de Max"
"49";"-";"-";"-";"-";"<E>";"-";"-";"-";"durer";"-";"+";"-";"+";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"Q'Ida revienne dure à Max"
"50";"-";"-";"-";"-";"<E>";"-";"-";"-";"durer";"-";"+";"-";"+";"depuis";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Que Max travaille dure depuis deux jours"
"51";"-";"+";"+";"+";"<E>";"-";"-";"-";"échapper";"-";"+";"-";"-";"à";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Qu'Ida parte a échappé à l'attention de Max"
"52";"-";"+";"+";"-";"<E>";"-";"-";"-";"échapper";"-";"+";"-";"-";"à";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"Qu'Ida venait à échapper à Max"
"53";"-";"-";"-";"-";"s'";"+";"-";"-";"échapper";"-";"-";"+";"-";"Loc";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Qu'Ida l'ait quitté s'est échappé de la mémoire de Luc"
"54";"-";"-";"+";"-";"<E>";"-";"-";"-";"échoir";"-";"+";"-";"-";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"Que tout soit en ordre échoit à Max"
"55";"-";"+";"-";"+";"<E>";"-";"-";"-";"éclater";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"Qu'Ida est idiote éclate aux yeux de tous"
"56";"-";"-";"-";"+";"<E>";"-";"-";"-";"effleurer";"-";"+";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"Il effleura son esprit que Max partirait"
"57";"-";"+";"-";"+";"s'";"+";"-";"-";"égarer";"-";"-";"+";"-";"Loc";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"Il s'est égaré dans son rapport que l'ambassadeur avait fait une bévue"
"58";"-";"+";"-";"+";"<E>";"-";"-";"-";"entrer";"-";"-";"+";"-";"Loc";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"Il entre dans les(vues+préoccupations)de Max de marier sa fille"
"59";"-";"+";"-";"+";"<E>";"-";"-";"-";"errer";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Que Léa ne reviendra pas erre dans l'esprit de Max"
"60";"-";"-";"-";"+";"s'";"+";"-";"-";"esquiver";"-";"-";"+";"+";"Loc";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"Il s'esquisse dans son esprit que Léa ne reviendra pas"
"61";"-";"+";"-";"+";"<E>";"-";"-";"-";"étinceler";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"Il étincelle au tableau lumineux que le train va partir"
"62";"-";"+";"-";"+";"<E>";"-";"-";"-";"être";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"Il est dans les intentions de Max que Léa vienne"
"63";"-";"-";"+";"+";"<E>";"-";"-";"-";"fermenter";"-";"+";"-";"+";"Loc";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"Il fermente dans l'esprit de Max que Léa est partie"
"64";"-";"+";"-";"-";"<E>";"-";"-";"-";"figurer";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Il figure ce rapport que Max était absent"
"65";"-";"+";"-";"+";"<E>";"-";"-";"-";"filtrer";"-";"+";"-";"+";"Loc";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"Il a filtré de cette réunion que Max serait candidat"
"66";"-";"+";"-";"+";"<E>";"-";"-";"-";"fleurir";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Il fleurit dans ce texte que ..."
"67";"-";"+";"-";"-";"<E>";"-";"-";"-";"fuir";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"Il a fui de sa mémoire que Léa l'avait aidé"
"68";"-";"+";"-";"+";"<E>";"-";"-";"-";"fuser";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"Il fusa soudain dans son esprit que Léa était partie"
"69";"-";"+";"-";"+";"<E>";"-";"-";"-";"galoper";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"Il galope dans sa tête que Léa est partie"
"70";"-";"+";"-";"+";"<E>";"-";"-";"-";"germer";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"Qu'il puisse réussir germe dans l'esprit de Max"
"71";"-";"+";"-";"+";"<E>";"-";"-";"-";"germiner";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"(Faire ceci+Cette idée)a germiné dans son esprit"
"72";"-";"-";"+";"-";"<E>";"-";"-";"-";"glisser";"-";"+";"-";"-";"sur";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Qu'Ida l'engueule glisse sur Max"
"73";"-";"+";"+";"-";"<E>";"-";"-";"-";"importer";"-";"+";"-";"+";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"Il importe pour Max que Léa parte"
"74";"~";"~";"~";"~";"s'";"+";"-";"-";"imposer";"-";"-";"+";"~";"à";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Il s'impose à Max qu'il devra venir"
"75";"-";"-";"+";"-";"<E>";"-";"-";"-";"incomber";"-";"+";"-";"-";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"Il incombe à Max que tout soit en ordre"
"76";"-";"+";"+";"+";"<E>";"-";"-";"-";"influer";"-";"+";"-";"+";"sur";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"Que Léa parte a influé sur Max"
"77";"~";"~";"~";"~";"<E>";"-";"-";"-";"interférer";"-";"+";"-";"~";"dans";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Que Léa soit partie interfère dans mes projets"
"78";"+";"+";"-";"+";"<E>";"-";"-";"-";"intervenir";"-";"-";"+";"-";"Loc";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"Il intervient dans la décision de Max que Léa doit partir"
"79";"-";"+";"-";"-";"<E>";"-";"-";"-";"jaillir";"-";"+";"-";"+";"de+dans";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Il a jailli (dans+de) la discussion que Max devait venir"
"80";"-";"+";"+";"-";"<E>";"-";"-";"-";"jouer";"-";"+";"-";"+";"contre+en+dans";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Que Luc ne soit pas venu joue (en ta faveur+dans la décision de Max)"
"81";"-";"+";"+";"-";"se";"+";"-";"-";"manifester";"-";"-";"+";"+";"à";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"Il se manifeste de jour en jour que Luc est idiot"
"82";"-";"-";"+";"-";"<E>";"-";"-";"-";"manquer";"-";"+";"-";"+";"à";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"Il manque à Paul de pouvoir s'inscrire"
"83";"~";"~";"~";"~";"<E>";"-";"-";"-";"marquer";"-";"+";"-";"~";"dans";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Cette découverte marque dans l'histoire"
"84";"~";"~";"~";"~";"se";"+";"-";"-";"marquer";"-";"-";"+";"~";"sur";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Sa surprise se marque sur sa gueule"
"85";"-";"+";"+";"-";"<E>";"-";"-";"-";"messeoir";"-";"+";"-";"-";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"Il messied à Paul de faire ça"
"86";"~";"~";"~";"~";"<E>";"-";"-";"-";"militer";"-";"+";"-";"~";"en";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Que Max ait réussi milite en sa faveur"
"87";"-";"+";"-";"+";"<E>";"-";"-";"-";"miroiter";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"Qu'il sera ministre miroite aux yeux de Paul"
"88";"-";"-";"-";"-";"<E>";"-";"-";"-";"obéir";"-";"+";"-";"-";"à";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Formaliser ceci obéit à des principes"
"89";"~";"~";"~";"~";"s'";"+";"-";"-";"originer";"-";"-";"+";"~";"dans";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Le malaise de Max s'origine dans cette altitude"
"90";"-";"+";"-";"-";"<E>";"-";"-";"-";"paraître";"-";"+";"-";"+";"Loc";"-";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Que Paul est mort est paru dans le journal"
"91";"~";"~";"~";"~";"<E>";"-";"-";"-";"parler";"-";"+";"-";"~";"pour";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Ceci parle pour Paul"
"92";"-";"-";"-";"-";"<E>";"-";"-";"-";"parvenir";"-";"-";"+";"-";"à";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Il est parvenu aux oreilles de Max que Léa était partie"
"93";"-";"-";"+";"-";"<E>";"-";"-";"-";"passer";"-";"-";"+";"+";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"Qu'il boive autant passera à Max"
"94";"-";"-";"-";"+";"<E>";"-";"-";"-";"passer";"-";"-";"+";"-";"par";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"Que Max ait ce poste passe par Luc"
"95";"~";"~";"~";"~";"se";"+";"-";"-";"peindre";"-";"-";"+";"~";"sur";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Que Max est furieux se peint sur son visage"
"96";"-";"+";"+";"-";"<E>";"-";"-";"-";"pénétrer";"-";"+";"-";"-";"<E>";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"Il a pénétré l'esprit de Max que Léa pourrait partir"
"97";"-";"+";"-";"+";"<E>";"-";"-";"-";"pénétrer";"-";"+";"-";"+";"Loc";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Il a pénétré dans l'esprit de Max que Léa pouvait partir"
"98";"-";"-";"-";"-";"<E>";"-";"-";"-";"percer";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"Il perce de ce rapport que la situation évolue"
"99";"-";"+";"+";"-";"<E>";"-";"-";"-";"peser";"-";"+";"-";"-";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"Que Léa soit partie pèse à Max"
"100";"-";"+";"-";"-";"<E>";"-";"-";"-";"peser";"-";"+";"-";"+";"Loc";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"Que Léa soit partie a pesé dans la décision de max"
"101";"-";"+";"-";"-";"<E>";"-";"-";"-";"plaider";"-";"+";"-";"-";"contre+pour";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Il plaide (contre+pour) sa position que l'opposition est forte"
"102";"-";"+";"+";"-";"<E>";"-";"-";"-";"plaire";"-";"+";"-";"+";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"Il plaît à Ida que Max vienne"
"103";"-";"+";"-";"+";"<E>";"-";"-";"-";"poindre";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"Il point dans son esprit qu'Ida reviendra"
"104";"-";"-";"-";"-";"se";"+";"-";"-";"préciser";"-";"-";"+";"+";"Loc";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Il se précise dans l'esprit de Luc qu'Ida ne partira pas"
