VerbNet,LADL,LVF,Paragon,Commentaires
30.1: see-30.1,6,H1d ou P3c,percevoir,entre 30-1 et 30-2 voir les frames : Luc (voit + *regarde) que la pluie tombe
30.2: sight-30.2,6,H1d ou P3a,regarder,
30.3: peer-30.3,,,jeter un coup d'oeil,les traduc doivent être jeter un cou d'œil sur ; renifler table 6 est transitif
30.4: stimulus_subject-30.4,32NM,E1c,renifler,Cette pièce renifle l'ail
31.1: amuse-31.1,4,P1a ou P2,amuser,
31.2: admire-31.2,12,P1j ou P1i,admirer,
31.3: marvel-31.3,8,P1a ou P1c,enrager,"pas une bonne classe en français ; plein de formes pronominales s'émerveiller de, s'énerver contre ; découpée avec les prépositions anglaises"
31.4: appeal-31.4,,,,5 verbes
32.1: want-32.1,6,P1j ou P1i,désirer,pas une belle classe
32.2: long-32.2,,P1d ou P1j,,pas une belle classe ; prépositions variables
33: judgment-33,13,C1j ou C1i,complimenter,éventuellemnt Table 12
34.1: assessment-34.1,6,H3f ou P3b,évaluer,
34.2: estimate-34.2,6,H3f,estimer,
35.1: hunt-35.1,,S1a,chasser,La table 35 des verbes de searching est définie par NO V N1 for N2 : I hunted/searched  the town for a treasure.  
35.2: search-35.2,,M1b,chercher,"Cela n'existe pas en français : J'ai fouillé la ville à la recherche d'un trésor, ouj'aii cherché un trésor dans les bois"
35.3: stalk-35.3,,M1c,traquer,
35.4: investigate-35.4,,P3b,inspecter,We inspected the area : manifestement for bombs est interdit
35.5: rummage-35.5,,M1b,fouiller,
35.6: ferret-35.6,,M1b,dénicher,*I ferreted the wood for games ; I ferreted the secret out of him
36.1: correspond-36.1,35S ou 32H,C1h ou U2a,,verbes symétriques de 35S humains
36.2: marry-36.2,35S ou 32H,U2 ou P1j ou S1c,,ou verbes trarnsitifs de 32 H : rencontrer
36.3: meet-36.3,35S ou 32H,F1d ou S1b ou U1a,,certains verbes ont d'autres compléments : bavarder de ce que P table 15
36.4: battle-36.4,35S ou 32H,C1h ou C1i ou C1f,,certains verbes sont en 36S : marier avec ou divorcer d'avec
37.1.1: transfer_mesg-37.1.1,9,C[23]a,expliquer,
37.1.2: inquire-37.1.2,9,C2i ou C2k,demander,
37.1.3: interrogate-37.1.3,9,C2i,interroger,
37.2: tell-37.2,9,C2j,informer,
37.3: manner_speaking-37.3,9,C2a,,
37.4: instr_communication-37.4,9,C1a ou C1b,,
37.5: talk-37.5,9,C1a,,
37.6: chit_chat-37.6,9,C1h ou C1f,,
37.7: say-37.7,9,C2a,,
37.8: complain-37.8,9,C1f ou C1j,,
37.9: advise-37.9,9,C2,,
37.10: confess-37.10,9,C2[cde] ou P1h,avouer,
37.11: lecture-37.11,9,C1h,,
37.12: overstate-37.12,9,T4d ou C1e ou M4b,,
37.13: promise-37.13,9,C2 ou D3[ac],,
38: animal_sounds-38,9,C1a.1,,
39.1: eat-39.1,38-L0,S3j,manger,boire
39.2: chew-39.2,38-L0,R3h ou S3j,mâcher,Aussi siroter (d'où S3j)
39.3: gobble-39.3,38-L0,S3j,avaler,en français pas de down donc
39.4: devour-39.4,38-L0,S3j,dévorer,regrouper 39-3 et 39-4
39.5: dine-39.5,35-R,?,dîner,dîner d’une poire – un peu partout dans LVF
39.6: gorge-39.6,35-R,N1c ou S3a,vivre,se nourrir de poires – regrouper 39.5 et 39.6 ?
39.7: feeding-39.7,37M1,N1c ou S3a,nourrir,nourrir N1 de/avec des poires
40.1.1: hiccup-40.1.1,38-L0,E1c ou H1a,roter,roter un rot gras – défini par tout ce qui est involontaire : réparti dans le LVF
40.1.2: breathe-40.1.2,38-L0,E1c,respirer,"pleurer, vomir"
40.1.3: exhale-40.1.3,- ,-,-,inhaler  prend un cod et doit être mis en 40.1.2
40.2: nonverbal_expression-40.2,31H,*,grimacer,réparti dans le LVF
40.3.1: wink-40.3.1,31H,M1a.[12],cligner,"hocher de la tête,  se lécher les babines"
40.3.2: crane-40.3.2,31H,M3b,?,épaules voutées ? Faire un mouvement du corps pouvant indiquer une information
40.3.3: curtsey-40.3.3,38LHD,M2b.1 ou M3b.1 ou M1b.3,s’agenouiller,Luc a agenouillé Max ? (je ne sais pas non plus)
40.4: snooze-40.4,31H,H1a,dormir,faire un roupillon/sieste/somme
40.5: flinch-40.5,31H,M1a.[124],tressaillir,tressauter
40.6: body_internal_states-40.6,8,M1a.[12],frissonner,trembler
40.7: suffocate-40.7,32H,F1b,asphyxier,noyer en 38LHR
40.8.1: pain-40.8.1,32H,F1d.1,gratter,
40.8.2: tingle-40.8.2,?,H1b.1,picoter,"fourmiller, picoter en 32 C"
40.8.3: hurt-40.8.3,,F1d,s'écorcher,"Max s’est fracturé le tibia : pas codé, uniqument : un choc a - son tibia, itou pour sedéchirer un muscle (hurt body part → parfait pour le LVF)"
40.8.4: change_bodily_state-40.8.4,31H,H1a ou P1c ou T1b,s’évanouir,
41.1.1: dress-41.1.1,?,N1a ou N1b,habiller ,se déhabiller : codé bizarement 
41.1.2: groom-41.1.2,32R3,N1c ou R1a.2,panser,
41.2.1: floss-41.2.1,32R3?,R1a.1,se brosser,se brosser les dents
41.2.2: braid-41.2.2,32R3,N1c.3 ou N1a ou R1a ou T3d,brosser,natter 32PL
41.3.1: simple_dressing-41.3.1,32R3 ou 38L0,L3b.2,,filtrer par HAB serait sympa ici
41.3.2: dressing_well-41.3.2,- ,-,-,être tiré à 4 épingles/sur son 31
41.3.3: being_dressed-41.3.3,- ,-,s’affubler,affubler 37M6
42.1: murder-42.1,32H,F1b,assassiner,
42.2: poison-42.2,32H,N1c ou F1b,empoisonner,
42.3: subjugate-42.3,?,F4b,?,"étouffer, soumettre, réprimer (plein d'autres classes que F4b en théorie)"
43.1: light_emission-43.1,34L0,H3c.1,scintiller,
43.2: sound_emission-43.2,34L0,H3d,crépiter,
43.3: smell_emission-43.3,32NM,E1c.1,puer,Ce fromage - l’amoniaque
43.4: substance_emission-43.4,?,E1c,jaillir,"baver, vomir"
44: destroy-44,32D ou 32H,F3c,détruire,
45.1: break-45.1,37M3 ou 32C,R3i,fêler,
45.2: bend-45.2,32C,M3a ou R3i ou R3f,plier,
45.3: cooking-45.3,32C,R3c,cuire,classe proche de 26-3
45.4: other_cos-45.4,32C ou 32CL ou 32CV ou 32RA,*,,pas compris ?
45.5: entity_specific_cos-45.5,31R,*,germer,
45.6: calibratable_cos-45.6,?,M4a ou M3a,,c'est le bazar
46: lodge-46,35ST,L1a,camper,la causative alternation est codée en 38LHR
47.1: exist-47.1,35ST,X3a ou M4a,exister,
47.2: entity_specific_modes_being-47.2,,M3a ou H3e,,c'est le bazar : autant de classes que de verbes
47.3: modes_of_being_with_motion-47.3,,M1a ou M3a,vaciller,c'est le bazar
47.4: sound_existence-47.4,34L0,E3b ou H3d,résonner,
47.5.1: swarm-47.5.1,34L0,M1a,grouiller,
47.5.2: herd-47.5.2,32PL et 2,U1a,s'ammasser,
47.5.3: bulge-47.5.3,37M3 ou 37M4,M1a ou M3a ou N3c,"gonfler, renfler",
47.6: spatial_configuration-47.6,38LR ou L8LD,M[13]b ou M3a ou L3[ab],"dresser, pendre",
47.7: meander-47.7,35ST ou 35 LR,L3a,courir,
47.8: contiguous_location-47.8,35ST,F3d ou L3b,toucher,bcp de verbes anglais ne doivent pas avoir de traduction en français
48.1.1: appear-48.1.1,35L ou 35LS,L1a ou E3a,"apparaître, émaner",
48.1.2: reflexive_appearance-48.1.2,35R ou 31R,C4d,"se manifester, se déclarer",
48.2: disappearance-48.2,,X4a ou F4b,disparaître,
48.3: occurrence-48.3,31R ou 35R,L4a ou M4a,se produire,
49: body_internal_motion-49,32CL ou 32R3 ou 32C,M1a,"se trémousser, se tortiller","gigoter  permet peu de locatif de destination : jusqu'au bar, se dandiner vers la sortie"
50: assuming_position-50,,M1a ou L1a,,pas clair – verbes LVF sans conviction
51.1: escape-51.1,,E1a ou E1d,"sortir, rentrer",découpage nécessaire
51.2: leave-51.2,38L1,S3h,quitter,
51.3.1: roll-51.3.1,,E3[cdf] ou E1[ed],,
51.3.2: run-51.3.2,2,M1a ou E3e,courir,
51.4.1: vehicle-51.4.1,2,M1a,"skier, patiner",V= VN= vehicule
51.4.2: nonvehicle-51.4.2,2,M1a,pédaler,
51.5: waltz-51.5,32R3,M1a,"dancer, valser",valser est en 32CV valser un tango
51.6: chase-51.6,38LD,M1c,poursuivre,
51.7: accompany-51.7,3,E1e,conduire,
51.8: reach-51.8,38L1,S3g ou E1d ou E3d,atteindre,
52: avoid-52,32R2,S3c ou E1a,éviter,classe peu définie
53.1: linger-53.1,?,E4d ou M2a ou X1a,"traîner, faire traîner",voir ce qui est fait avec les sentential complements
53.2: rush-53.2,?,M4a ou M4b,"accélérer, faire accélérer",voir ce qui est fait avec les sentential complements
54.1: register-54.1,32NM,H3f,peser,
54.2: cost-54.2,32NM,H3f,coûter,
54.3: fit-54.3,32NM,S3k,contenir,
54.4: price-54.4,32R2,H3f,évaluer,
54.5: bill-54.5,36DT,D2a ou L1b ou N4a ou F2b,facturer,LVF : une classe par verbe
55.1: begin-55.1,1,X1a ou X4a ou M4b,commencer,
55.2: complete-55.2,1,X1a ou X4a ou M4b,achever,
55.3: continue-55.3,1,X1a ou M4[ab] ou S3f,continuer,
55.4: stop-55.4,1,X1a ou X4a ou M3[ab] ou M4[ab],arrêter,
55.5: establish-55.5,32A ou 38R,X4a ou R3b,établir,initier et introduire 38R
55.6: sustain-55.6,36R,S4f ou L2b ou M4b,"maintenir, garder",garder 15 entrées
56: weekend-56,-,-,-,V=Vn = période n'existe pas en français
57: weather-57,C_31i,H3b,neiger,table de figée ; ancien 31I
58.1: urge-58.1,9,C2,conseiller,
58.2: beg-58.2,9,C2h ou C2k,demander,
59: force-59,11,H2j,forcer,
60: order-60,9,C2b,ordonner,
61: try-61,1,P1h,essayer,
62: wish-62,6,P1i,souhaiter,
63: enforce-63,6,C2b,imposer,3 verbes danas la classe : pas sérieux mais 2 rôles sémantiques et pas 3 donc pas en 9 : mais à voir ???
64: allow-64,6 ou 9,D3c ou P1h,autoriser,
65: admit-65,?,S2f ou E1f,recevoir,classe  de merde
66: consume-66,?,,,classe de 3 elements 
67: forbid-67,12 ou 6,S2e ou M2c ou S4f ou C2b,empêcher,classe dont les frames ne sont pas clairs en anglais
68: pay-68,39,D2a ou N2a ou S4b,payer,
69: refrain-69,8,S2e ou U2c ou C4d ou P1e,s'abstenir,
70: rely-70,16,P1f ou P1d,compter/parier sur,
71: conspire-71,14,F2d ou C1f ou P3c,conspirer,conspirer avec N2 pour V-inf ; refair les frames français
72: help-72,11,D1c ou P2a,aider,aider (à + pour) V-inf
73: cooperate-73,14,U2b,collaborer,collaborer (à+pour) V-inf
74: succeed-74,1,H2e,"réussir, échouer",
75: neglect-75,1,S4b,négliger,traduc de manage = not-neglect ?
76: limit-76,11,L4b ou L2b ou M2c,confiner,
77: accept-77,6,?,,"Classe bizarre – mal défini sémantiquement (comprendre, encourager, accepter)"
78: indicate-78,9,C4b,"indiquer, expliquer",à sujet Nnr et pas à sujet humain
79: dedicate-79,11,D2a ou P1h,dévouer,dévouer sa vie / se dévouer à+pour V-inf
80: free-80,13,U2c ou E2b,"libérer, guérir",
81: suspect-81,13,P3c,soupçonner,
82: withdraw-82,?,E1a,se retirer,4 verbes anglais et pas de table en français
83: cope-83,7,M2b ou E2a,"se débrouiller, réussir",alternance à /pour
84: discover-84,6,P3c ou P3b,découvrir,
85: defend-85,13 ou 32R3,F2d,défendre,pas bien clair
86.1: correlate-86.1,?,T2a,alterner,classe mal définie
86.2: relate-86.2,4,F2b,concerner,emploi non psy
87.1: focus-87.1,11,P1e ou P1f,concentrer,concentrer ses efforts ou se concentrer
87.2: comprehend-87.2,6,P3c,comprendre,
88.1: care-88.1,8 ou 4,P2a ou P1a,s'inquiéter,
88.2: empathize-88.2,35R,U2b,compatir,
89: settle-89,?,U2a ou F4b ou X1a,s'harmoniser,une classe LVF par verbe
90: exceed-90,32R2 ou 32R1,E4d,"dépasser, surpasser",
91: matter-91,5,H2k,compter,classes de deux verbes
92: confine-92,38LHD,L1b,incarcérer,
93: adopt-93,6,H4c,adopter,
94: risk-94,?,L4b,"(se) risquer, jouer","jouer a 20 entrées, pas de bonne entreée pour risquer"
95: acquiesce-95,?,D1b ou P1f,"se rendre, capituler",capituler 35R
96: addict-96,11,H2j,"prédisposer, inciter",sujet Nnr ou Hum – LVF sans conviction
97.1: base-97.1,10 ou 38R,L4b,baser,pas de bonne entrée pour établir
97.2: deduce-97.2,16,E4b,déduire,
98: confront-98,32R2,F4a,braver,
99: ensure-99,9,T4b ou D3c,garantir,sujet Nnr = cause
100: own-100,32R2,S3k,posséder,
101: patent-101,32R3,L3b ou N4a,breveter,LVF: sans conviction
102: promote-102,32R2,D3b ou P2[ac],"promouvoir, promotionner",
103: require-103,10,C2k,nécessiter,demander à sujet Nnr
104: spend_time-104,?,?,passer,classe mal définie : J'ai perdu 5 heures à Vinf – LVF : E4d ?
105: use-105,11,S4h,utiliser,à et pour 
106: void-106,32RA,F4b,"annuler, invalider",32RA définie sur un critère morphologique
107: involve-107,11,?,engager,à et pour
108: multiply-108,32PL ou 36S,,multiplier,"additionner  soustraire – une classe LVF par verbe, pas de complétive"
109: seem-109,1,X2a,sembler,
